ProteinID,GeneName,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean
RAD9A,RAD9A,1.058475493514314,0.2898387176075082,0.2366823156015643,0.4665051486166804,-0.0071224716359464,-0.436310357248012
GET4,GET4,1.10377696422087,0.2696898998450281,0.2468120323996218,0.4447370708624532,0.254181006805261,-0.3861116581153975
TXNIP,TXNIP,1.10377696422087,0.2696898998450281,0.2468120323996218,0.4447370708624532,0.2887813073817,-0.5804392033181214
UBP42,USP42,1.10377696422087,0.2696898998450281,0.2468120323996218,0.4447370708624532,1.4934981811508057,0.108447105564377
KIBRA,WWC1,1.10377696422087,0.2696898998450281,0.2468120323996218,0.4447370708624532,0.2777905105431663,-0.505137259109548
RUND1,RUNDC1,1.10377696422087,0.2696898998450281,0.2468120323996218,0.4447370708624532,-0.3406408315577962,-0.5439552586093009
D4PHA4,GPBP1,1.10377696422087,0.2696898998450281,0.2468120323996218,0.4447370708624532,0.4375862460300358,-0.4126594369832878
F5H527,SSH2,1.10377696422087,0.2696898998450281,0.2468120323996218,0.4447370708624532,0.3826389134643018,-0.39432520258402
OCAD2,OCIAD2,1.1338934190276817,0.2568392579578565,0.253546276418555,0.4343364521516619,0.314038147090692,-0.3626360930319012
PSB9,PSMB9,1.1338934190276817,0.2568392579578565,0.253546276418555,0.4343364521516619,-0.0048071632519479,-1.1637966545423744
LSM8,LSM8,1.1338934190276817,0.2568392579578565,0.253546276418555,0.4343364521516619,0.7145662298738699,-0.2625375442185605
